Paritioned Dense Curro Autoencoder with Modified ReLU,Iterations,Loss
-6 dB,-3 dB,0 dB,3 dB,6 dB
2001
-6 dB,427.453918457,1964.7824707,473.391082764
-6 dB,368.537780762,1723.48925781,412.80569458
-6 dB,412.621124268,1903.01062012,457.467834473
-6 dB,409.786437988,1903.14770508,455.126708984
-6 dB,410.260437012,1900.5123291,455.40411377
-6 dB,399.551574707,1849.26989746,441.930236816
-6 dB,364.142456055,1688.53674316,409.482391357
-6 dB,399.118896484,1839.07800293,443.991394043
-6 dB,406.729125977,1867.94165039,451.75189209
-6 dB,388.271240234,1800.3861084,435.517333984
-6 dB,382.169433594,1753.54040527,426.634033203
-6 dB,400.774841309,1845.5390625,447.397521973
-6 dB,408.281188965,1892.81787109,450.850769043
-6 dB,416.435058594,1929.65380859,464.649230957
-6 dB,358.905944824,1658.64599609,401.209472656
-6 dB,424.181915283,1962.55395508,470.974609375
-6 dB,359.174499512,1670.6986084,401.167480469
-6 dB,392.076660156,1816.02416992,438.992370605
-6 dB,376.910339355,1735.59509277,421.348999023
-6 dB,373.260559082,1730.00805664,415.511291504
-6 dB,371.042266846,1691.31835938,411.453033447
-6 dB,433.177734375,1992.36279297,476.620422363
-6 dB,370.172637939,1719.87817383,415.104980469
-6 dB,440.176452637,2030.17382812,488.813232422
-6 dB,340.09085083,1562.25769043,377.616638184
-6 dB,347.067565918,1602.47668457,390.289672852
-6 dB,438.684082031,2026.39306641,484.529266357
-6 dB,383.492004395,1748.56030273,423.530029297
-6 dB,403.808227539,1865.52026367,446.980316162
-6 dB,384.491455078,1772.04003906,426.927490234
-6 dB,436.860351562,2026.76171875,482.199157715
-6 dB,432.833587646,1975.62329102,477.622802734
-6 dB,349.223297119,1595.1315918,392.121185303
-6 dB,415.910095215,1902.66491699,462.946472168
-6 dB,374.516174316,1739.88427734,420.440856934
-6 dB,389.376647949,1796.42529297,432.981018066
-6 dB,417.438415527,1925.31616211,460.674713135
-6 dB,420.113586426,1923.52844238,465.288269043
-6 dB,377.680053711,1738.37475586,424.206542969
-6 dB,377.040588379,1738.88647461,421.867248535
-6 dB,390.426147461,1805.3729248,435.278991699
-6 dB,372.577178955,1702.87536621,415.48928833
-6 dB,362.127471924,1661.02783203,406.38848877
-6 dB,389.692047119,1800.43566895,433.52154541
-6 dB,405.606292725,1874.09008789,452.073059082
-6 dB,373.366912842,1725.07287598,422.903381348
-6 dB,397.307006836,1846.46777344,441.532318115
-6 dB,367.120819092,1697.93981934,412.605438232
-6 dB,404.659545898,1866.77124023,447.587463379
-6 dB,384.295379639,1773.76831055,427.589050293
-6 dB,405.776306152,1849.93798828,451.646972656
-6 dB,353.776733398,1618.09326172,395.794555664
-6 dB,407.477783203,1873.3581543,450.66607666
-6 dB,388.275817871,1774.26184082,435.565124512
-6 dB,421.5284729,1936.1328125,470.218109131
-6 dB,381.306182861,1756.50415039,425.565002441
-6 dB,404.889770508,1878.96618652,450.090942383
-6 dB,402.500762939,1845.17822266,446.820800781
-6 dB,373.927490234,1709.0715332,415.177429199
-6 dB,378.257080078,1732.04821777,421.278320312
-6 dB,424.233306885,1945.90771484,468.753875732
-6 dB,360.847473145,1654.42346191,404.190429688
-6 dB,318.58795166,1454.69628906,357.89642334
-6 dB,448.118896484,2053.50048828,493.219818115
-6 dB,334.33605957,1537.86645508,376.533752441
-6 dB,365.142883301,1667.73242188,410.08795166
-6 dB,437.317382812,1988.42919922,480.250457764
-6 dB,452.866210938,2094.35839844,498.133575439
-6 dB,357.968414307,1648.75378418,398.879119873
-6 dB,398.129150391,1818.25756836,445.580932617
-6 dB,373.82421875,1703.14050293,419.978820801
-6 dB,340.166137695,1557.69384766,383.15234375
-6 dB,336.665374756,1532.52441406,379.206695557
-6 dB,410.137023926,1863.08886719,455.404083252
-6 dB,387.217285156,1785.66235352,430.970336914
-6 dB,432.401367188,1963.55981445,474.952758789
-6 dB,404.403076172,1839.65759277,446.600524902
-6 dB,415.715362549,1908.1652832,461.314849854
-6 dB,420.06262207,1902.80541992,467.012207031
-6 dB,427.453979492,1973.16357422,472.353759766
-6 dB,424.553588867,1933.96679688,468.344482422
-6 dB,393.730651855,1796.58422852,442.29699707
-6 dB,401.43862915,1847.5411377,446.613708496
-6 dB,345.706359863,1583.93359375,385.438232422
-6 dB,421.718566895,1916.16796875,467.875030518
-6 dB,387.245666504,1761.32202148,432.224243164
-6 dB,387.42578125,1775.68286133,431.769104004
-6 dB,451.068603516,2075.63745117,498.844451904
-6 dB,412.915771484,1878.91870117,456.842041016
-6 dB,388.210357666,1753.80957031,431.019470215
-6 dB,398.170776367,1800.21142578,447.303100586
-6 dB,391.061553955,1797.03918457,433.726226807
-6 dB,446.828521729,2038.21606445,491.629211426
-6 dB,356.318725586,1624.98864746,397.166564941
-6 dB,398.44708252,1816.27209473,442.455505371
-6 dB,390.381652832,1793.57080078,435.004516602
